Date,Price
10/24/2016,29820
10/25/2016,30034
10/26/2016,29913
10/27/2016,30054
10/28/2016,30131
10/30/2016,30151
10/31/2016,30057
11/1/2016,30329
11/2/2016,30759
11/3/2016,30674
11/4/2016,30689
11/7/2016,30118
11/8/2016,29899
11/9/2016,29961
11/10/2016,29986
11/11/2016,29461
11/14/2016,29676
11/15/2016,29391
11/16/2016,29463
11/17/2016,29185
11/18/2016,29005
11/21/2016,29197
11/22/2016,29182
11/23/2016,28885
11/24/2016,28816
11/25/2016,28671
11/28/2016,28793
11/29/2016,28853
11/30/2016,28428
12/1/2016,28062
12/2/2016,28445
12/5/2016,28236
12/6/2016,27944
12/7/2016,28043
12/8/2016,27896
12/9/2016,27701
12/12/2016,27843
12/13/2016,27710
12/14/2016,27746
12/15/2016,27130
12/16/2016,27308
12/19/2016,27392
12/20/2016,27262
12/21/2016,27103
12/22/2016,27152
12/23/2016,27186
12/26/2016,27241
12/27/2016,27431
12/28/2016,27539
12/29/2016,27810
12/30/2016,27700
1/2/2017,27828
1/3/2017,28102
1/4/2017,28085
1/5/2017,28890
1/6/2017,27960
1/9/2017,28124
1/10/2017,28210
1/11/2017,28353
1/12/2017,28463
1/13/2017,28440
1/16/2017,28601
1/17/2017,28797
1/18/2017,28852
1/19/2017,28588
1/20/2017,28685
1/23/2017,28876
1/24/2017,28815
1/25/2017,28472
1/27/2017,28449
1/30/2017,28642
1/31/2017,29172
2/1/2017,28981
2/2/2017,29064
2/3/2017,29166
2/6/2017,29202
2/7/2017,29348
2/8/2017,29371
2/9/2017,29115
2/10/2017,29195
2/13/2017,29057
2/14/2017,29027
2/15/2017,29138
2/16/2017,29377
2/17/2017,29359
2/20/2017,29324
2/21/2017,29314
2/22/2017,29223
2/23/2017,29440
2/24/2017,29613
2/27/2017,29732
2/28/2017,29592
3/1/2017,29529
3/2/2017,29204
3/3/2017,29442
3/6/2017,28979
3/7/2017,28791
3/8/2017,28660
3/9/2017,28491
3/10/2017,28417
